state,name,in_test_data
Maine,Acadia National Park,1
Utah,Arches National Park,1
South Dakota,Badlands National Park,1
Texas,Big Bend National Park,1
Florida,Biscayne National Park,1
Colorado,Black Canyon of the Gunnison National Park,1
Utah,Bryce Canyon National Park,1
Utah,Canyonlands National Park,1
Utah,Capitol Reef National Park,1
New Mexico,Carlsbad Caverns National Park,1
California,Channel Islands National Park,1
South Carolina,Congaree National Park,1
Oregon,Crater Lake National Park,1
Ohio,Cuyahoga Valley National Park,1
California and Nevada,Death Valley National Park,1
Alaska,Denali National Park,1
Florida,Dry Tortugas National Park,1
Florida,Everglades National Park,1
Alaska,Gates of the Arctic National Park,1
Missouri and Illinois,Gateway Arch National Park,1
Alaska,Glacier Bay National Park,1
Montana,Glacier National Park,1
Arizona,Grand Canyon National Park,1
Wyoming,Grand Teton National Park,1
Nevada,Great Basin National Park,1
Colorado,Great Sand Dunes National Park,1
North Carolina and Tennessee,Great Smoky Mountains National Park,1
Texas,Guadalupe Mountains National Park,1
Hawaii,Haleakalā National Park,1
Hawaii,Hawai'i Volcanoes National Park,1
Arkansas,Hot Springs National Park,1
Indiana,Indiana Dunes National Park,1
Michigan,Isle Royale National Park,1
California,Joshua Tree National Park,1
Alaska,Katmai National Park,1
Alaska,Kenai Fjords National Park,1
California,Kings Canyon National Park,1
Alaska,Kobuk Valley National Park,1
Alaska,Lake Clark National Park,1
California,Lassen Volcanic National Park,1
Kentucky,Mammoth Cave National Park,1
Colorado,Mesa Verde National Park,1
Washington,Mount Rainier National Park,1
American Samoa,National Park of American Samoa,1
Washington,North Cascades National Park,1
Washington,Olympic National Park,1
Arizona,Petrified Forest National Park,1
California,Pinnacles National Park,1
California,Redwood National Park,1
Colorado,Rocky Mountain National Park,1
Arizona,Saguaro National Park,1
California,Sequoia National Park,1
Virginia,Shenandoah National Park,1
North Dakota,Theodore Roosevelt National Park,1
Virgin Islands,Virgin Islands National Park,1
Minnesota,Voyageurs National Park,1
New Mexico,White Sands National Park,1
South Dakota,Wind Cave National Park,1
Alaska,Wrangell-St. Elias National Park,1
"Idaho, Montana, and Wyoming",Yellowstone National Park,1
California,Yosemite National Park,1
Utah,Zion National Park,1